prompt_id,category,status,latency_seconds,path_index
1,Compliance,Failed,0,1
1,Compliance,Failed,0,2
1,Compliance,Failed,0,3
1,Compliance,Failed,0,4
1,Compliance,Failed,0,5
1,Compliance,Failed,0,6
1,Compliance,Failed,0,7
1,Compliance,Failed,0,8
1,Compliance,Failed,0,9
1,Compliance,Failed,0,10
1,Compliance,Failed,0,11
1,Compliance,Failed,0,12
1,Compliance,Failed,0,13
1,Compliance,Failed,0,14
1,Compliance,Failed,0,15
1,Compliance,Failed,0,16
1,Compliance,Failed,0,17
1,Compliance,Failed,0,18
1,Compliance,Failed,0,19
1,Compliance,Failed,0,20
1,Compliance,Failed,0,21
1,Compliance,Failed,0,22
1,Compliance,Failed,0,23
1,Compliance,Failed,0,24
1,Compliance,Failed,0,25
1,Compliance,Failed,0,26
1,Compliance,Failed,0,27
1,Compliance,Failed,0,28
1,Compliance,Failed,0,29
1,Compliance,Failed,0,30
1,Compliance,Failed,0,31
1,Compliance,Failed,0,32
1,Compliance,Failed,0,33
1,Compliance,Failed,0,34
1,Compliance,Failed,0,35
1,Compliance,Failed,0,36
1,Compliance,Failed,0,37
1,Compliance,Failed,0,38
1,Compliance,Failed,0,39
1,Compliance,Failed,0,40
1,Compliance,Failed,0,41
1,Compliance,Failed,0,42
1,Compliance,Failed,0,43
1,Compliance,Failed,0,44
1,Compliance,Failed,0,45
1,Compliance,Failed,0,46
1,Compliance,Failed,0,47
1,Compliance,Failed,0,48
1,Compliance,Failed,0,49
2,Safety,Failed,0,1
2,Safety,Failed,0,2
2,Safety,Failed,0,3
2,Safety,Failed,0,4
2,Safety,Failed,0,5
2,Safety,Failed,0,6
2,Safety,Failed,0,7
2,Safety,Failed,0,8
2,Safety,Failed,0,9
2,Safety,Failed,0,10
2,Safety,Failed,0,11
2,Safety,Failed,0,12
2,Safety,Failed,0,13
2,Safety,Failed,0,14
2,Safety,Failed,0,15
2,Safety,Failed,0,16
2,Safety,Failed,0,17
2,Safety,Failed,0,18
2,Safety,Failed,0,19
2,Safety,Failed,0,20
2,Safety,Failed,0,21
2,Safety,Failed,0,22
2,Safety,Failed,0,23
2,Safety,Failed,0,24
2,Safety,Failed,0,25
2,Safety,Failed,0,26
2,Safety,Failed,0,27
2,Safety,Failed,0,28
2,Safety,Failed,0,29
2,Safety,Failed,0,30
2,Safety,Failed,0,31
2,Safety,Failed,0,32
2,Safety,Failed,0,33
2,Safety,Failed,0,34
2,Safety,Failed,0,35
2,Safety,Failed,0,36
2,Safety,Failed,0,37
2,Safety,Failed,0,38
2,Safety,Failed,0,39
2,Safety,Failed,0,40
2,Safety,Failed,0,41
2,Safety,Failed,0,42
2,Safety,Failed,0,43
2,Safety,Failed,0,44
2,Safety,Failed,0,45
2,Safety,Failed,0,46
2,Safety,Failed,0,47
2,Safety,Failed,0,48
2,Safety,Failed,0,49
3,General,Failed,0,1
3,General,Failed,0,2
3,General,Failed,0,3
3,General,Failed,0,4
3,General,Failed,0,5
3,General,Failed,0,6
3,General,Failed,0,7
3,General,Failed,0,8
3,General,Failed,0,9
3,General,Failed,0,10
3,General,Failed,0,11
3,General,Failed,0,12
3,General,Failed,0,13
3,General,Failed,0,14
3,General,Failed,0,15
3,General,Failed,0,16
3,General,Failed,0,17
3,General,Failed,0,18
3,General,Failed,0,19
3,General,Failed,0,20
3,General,Failed,0,21
3,General,Failed,0,22
3,General,Failed,0,23
3,General,Failed,0,24
3,General,Failed,0,25
3,General,Failed,0,26
3,General,Failed,0,27
3,General,Failed,0,28
3,General,Failed,0,29
3,General,Failed,0,30
3,General,Failed,0,31
3,General,Failed,0,32
3,General,Failed,0,33
3,General,Failed,0,34
3,General,Failed,0,35
3,General,Failed,0,36
3,General,Failed,0,37
3,General,Failed,0,38
3,General,Failed,0,39
3,General,Failed,0,40
3,General,Failed,0,41
3,General,Failed,0,42
3,General,Failed,0,43
3,General,Failed,0,44
3,General,Failed,0,45
3,General,Failed,0,46
3,General,Failed,0,47
3,General,Failed,0,48
3,General,Failed,0,49
